Name,Class,SubClass,Faction,Role,ThreatRating,TankDoctrine,OptimalRange,HighSlots,MidSlots,LowSlots,RigSlots,Turrets,Launchers,Powergrid_MW,CPU_tf,BaseSpeed_ms,SigRadius_m,DroneBay_m3,DroneBandwidth_Mbit,HullBonuses
Abaddon,Battleship,Battleship,Amarr,Heavy Laser Line Battleship,THREAT_COMBATANT,Massive Armor Resistance Buffer,30-80 km,8,6,7,3,7,7,16500,650,115,420,125,100,Energy Turret Damage & Optimal Range bonus per level | Capacitor usage reduction for Energy Weapons
Absolution,Command Ship,Command Ship,Amarr,Laser Fleet Command Brawler,THREAT_T2_COMBAT,Immense Armor Buffer,20-50 km,7,5,6,2,5,5,1600,510,165,240,75,50,Energy Turret Damage & Optimal Range bonus per level | Capacitor usage reduction for Energy Weapons
Aeon,Supercarrier,Supercarrier,Amarr,Supercapital Heavy Carrier,THREAT_SUPER,Immense Armor Buffer,Omni Grid,6,7,7,3,0,0,1200000,1800,60,18000,0,0,Energy Turret Damage & Optimal Range bonus per level | Capacitor usage reduction for Energy Weapons
Algos,Destroyer,Destroyer,Gallente,Drone / Rail Destroyer,THREAT_COMBATANT,Armor Buffer,0-30 km,8,2,3,3,7,7,72,200,310,65,0,0,Hybrid Turret damage and tracking speed bonus per level | Armor repairer effectiveness or Armor HP bonus | Role Bonus: Extreme Drone HP and Damage output multiplier (up to 500%)
Alligator,Battlecruiser,Battlecruiser,Guristas,Heavy Drone / Missile Battlecruiser,THREAT_PIRATE,Shield Buffer,30-70 km,7,5,6,3,6,6,1350,440,155,260,50,50,"Missile kinetic/thermal velocity, flight time and explosion radius bonus | Shield resistance or shield capacity bonus | Role Bonus: Extreme Drone HP and Damage output multiplier (up to 500%)"
Anathema,Covert Ops,Covert Ops,Amarr,Stealth Scout / Cyno,THREAT_COVERT,Paper Thin,Covert,3,4,2,2,1,1,28,210,330,34,0,0,Energy Turret Damage & Optimal Range bonus per level | Capacitor usage reduction for Energy Weapons | Role Bonus: Covert Ops Cloaking Device fitting & zero cloak reactivation delay
Anshar,Jump Freighter,Freighter,Gallente,Capital Jump Freighter,THREAT_HAULER,Armor Buffer,0 km,0,0,3,3,0,0,0,0,65,3500,0,0,Hybrid Turret damage and tracking speed bonus per level | Armor repairer effectiveness or Armor HP bonus
Apocalypse,Battleship,Battleship,Amarr,Large Beam / Pulse Laser Battleship,THREAT_COMBATANT,Armor Buffer,60-140 km,8,6,7,3,7,7,16500,650,115,420,125,100,Energy Turret Damage & Optimal Range bonus per level | Capacitor usage reduction for Energy Weapons
Apocalypse Navy Issue,Faction Battleship,Battleship,Amarr (Navy),Navy Laser Sniper Battleship,THREAT_COMBATANT,Armor Buffer,60-150 km,8,6,7,3,7,7,16500,650,115,420,125,100,Energy Turret Damage & Optimal Range bonus per level | Capacitor usage reduction for Energy Weapons
Apostle,Force Auxiliary,Force Auxiliary,Amarr,Capital Armor FAX,THREAT_CAPITAL,Active Armor (Triage),Remote Armor,5,6,6,3,0,0,580000,1050,65,9500,0,0,Energy Turret Damage & Optimal Range bonus per level | Capacitor usage reduction for Energy Weapons
